idcliente;nombre;apellidos;razonsocial;cif;cp;domicilio;provincia;municipio;telefono;fax;email;web;observaciones;codcliente;er;certificadocaduca;suministrode;ctabancaria;fecha1;fecha2;fecha3;cliente;proveedor;fct;pdb;colaborador;otrasempresas;interesadosbolsa;asociacion;salesiano;interesado;ayuntamiento;contacto;cargo;tipo;cursointeresado;aceptamailing;fechanac;nacionalidad;sexo;movil;idespecialidad;idespecialidad2;idespecialidad3;idespecialidad4;idespecialidad5;iban;bic;convenio;conveniofecha;especialidadtexto
1;ACERALIA PERFILES ZARAGOZA, S.A.;NULL;NULL;A50004126;50015;CORBERA BAJA, S/N;ZARAGOZA;ZARAGOZA;976466171;976517648;antonio.torne@mb.arcelor.com;NULL;"- Aunque ellos entregar�n su propio diploma, en la empresa, a un mes de finalizar el curso aproximadamente deben firmar el certificado de recib� de diploma.
- Entregar nuestro diploma.
- Traen sus propias fichas de seguimiento y encuesta final.
- Factu";ACE;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;ANTARES;NULL;NULL;B50909738;50015;VALLE DE ZURIZA, 42  LOCAL;ZARAGOZA;ZARAGOZA;976233493;976238068;muriel@grupolacor.com;;;ANT;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;APEFONCA, ASOCIACI�N PROVINCIAL DE FONTANER�A;NULL;NULL;G50044106;50014;POL. COGULLADA, AGRUPACI�N NIDO, NAVE 38;ZARAGOZA;ZARAGOZA;976464169;976475081;apefonca@eresmas.com;NULL;Alquiler de aulas;APE;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;ASIMAG;NULL;NULL;;48013;C ALAMEDA URQUIJO, 85, ENTREPLANTA;;;944399269;944398704;;;"- Aunque ellos entregar�n su propio diploma, en la empresa (un mes despu�s de finalizar el curso aprox.) deben firmar el certificado de recib� de diploma de la empresa.
- Traen sus propias fichas de seguimiento y encuesta final.
- Entregar nuestro diplo";ASI;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;AUTODESK, S.A.;NULL;NULL;A59125229;8960;C CONSTITUCI�N, 1, PLANTA 4�;ALAVA;NULL;934803380;934737334;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15;BSH ELECTRODOM�STICOS ESPA�A, S.A.;NULL;NULL;A28893550;50016;AVDA. MONTA�ANA, 19;ZARAGOZA;MONTA�ANA;976578000;976578001;ana.olangua@bshg.com;NULL;"Las listas se pasan a diario.
Hacemos diplomas, debemos guardar una copia de uno como modelo en el expte. Enviamos los diplomas a la planta. De Huarte - Pamplona.
DATOS DE FACTURACI�N Y ENVIO DE FACTURAS:
BSH ELECTRODOM�STICOS ESPA�A, S.A.
C/ITAROBURUA, 1
31620 HUARTE-PAMPLONA (NAVARRA)
Att. Ana Ol";BSH;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;28;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16;CENTRO CULTURAL DE IBERCAJA;NULL;NULL;G50000652;50018;C ANT�N GARC�A ABRIL, 1;ZARAGOZA;ZARAGOZA;976733620;976733620;ccactur@ibercajaobrasocial.org;NULL;"IBERCAJA CENTRUM (Est� Marisa Borao)
Calle Costa, 2
DESDE ENERO 2012 (seg�n Rosa Pamplona)
Debemos emitir cuatro albaranes y enviarselos a Rosa Pamplona y una vez nos den el n� de pedido, cuatro fras:
- Ingl�s conversaci�n
- Ingl�s para estudiantes
- Ingl�s nivel I e ingl�s nivel II
- Chino
En las fras. debemos indicar el n� de cuenta de ibercaja 2085 0110 22 03 00270131
Las facturas las pagan a 30 d�as confirmin (las enviamos a Rosa Pamplona)
Enviaremos los albaranes cada d�a 15 del mes que vamos a facturar
Seg�n Isabel Clemente (mail 22/10/2014)
Facturar a: Fundaci�n Bancaria Para�so / Plaza Basilio Para�so, 2 / 50008  ZGZA
pero la debemos enviar a: Centro Ibercaja Actur / Ant�n Garc�a Abril, 1 /  50018  ZGOZA";IBE;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18;COLEGIO OFICIAL DE FARMACE�TICOS DE ZARAGOZA;NULL;NULL;Q5066003D;50008;AVDA. TENOR FLETA, 57-C, 1� PLANTA;ZARAGOZA;ZARAGOZA;976481415;976592078;cimz@redfarma.org;;ALQUILER AULAS.  Teresa Mozaz;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;COLEGIO OFICIAL DE INGENIEROS AGR�NOMOS DE ARAG�N, NAVARRA Y PA�S VASCO;NULL;NULL;Q5071003G;50004;C TENIENTE CORONEL VALENZUELA, 5, 4� PLANTA;ZARAGOZA;ZARAGOZA;976230388;976216075;NULL;NULL;www.iies.es/agronomos/coiaarnpv;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;FEDERACI�N ARAGONESA DE F�TBOL;NULL;NULL;G50214188;50010;URBANIZACI�N PARQUE ROMA, BLOQUE I, PLANTA CALLE;ZARAGOZA;ZARAGOZA;976316103;976533699;federacion@futbolaragon.com;NULL;"ALQUILER DE AULAS
Presidente: Oscar Fle Latorre

Contacto: Cesar Ascaso 696687022 cesarascaso@gmail.com";FAF;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
