idcliente;nombre;apellidos;razonsocial;cif;cp;domicilio;provincia;municipio;telefono;fax;email;web;observaciones;codcliente;er;certificadocaduca;suministrode;ctabancaria;fecha1;fecha2;fecha3;cliente;proveedor;fct;pdb;colaborador;otrasempresas;interesadosbolsa;asociacion;salesiano;interesado;ayuntamiento;contacto;cargo;tipo;cursointeresado;aceptamailing;fechanac;nacionalidad;sexo;movil;idespecialidad;idespecialidad2;idespecialidad3;idespecialidad4;idespecialidad5;iban;bic;convenio;conveniofecha;especialidadtexto
1;ACERALIA PERFILES ZARAGOZA, S.A.;NULL;NULL;A50004126;50015;CORBERA BAJA, S/N;ZARAGOZA;ZARAGOZA;976466171;976517648;antonio.torne@mb.arcelor.com;NULL;"- Aunque ellos entregarán su propio diploma, en la empresa, a un mes de finalizar el curso aproximadamente deben firmar el certificado de recibí de diploma.
- Entregar nuestro diploma.
- Traen sus propias fichas de seguimiento y encuesta final.
- Factu";ACE;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;ANTARES;NULL;NULL;B50909738;50015;VALLE DE ZURIZA, 42  LOCAL;ZARAGOZA;ZARAGOZA;976233493;976238068;muriel@grupolacor.com;;;ANT;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;APEFONCA, ASOCIACIÓN PROVINCIAL DE FONTANERÍA;NULL;NULL;G50044106;50014;POL. COGULLADA, AGRUPACIÓN NIDO, NAVE 38;ZARAGOZA;ZARAGOZA;976464169;976475081;apefonca@eresmas.com;NULL;Alquiler de aulas;APE;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;ASIMAG;NULL;NULL;;48013;C ALAMEDA URQUIJO, 85, ENTREPLANTA;;;944399269;944398704;;;"- Aunque ellos entregarán su propio diploma, en la empresa (un mes después de finalizar el curso aprox.) deben firmar el certificado de recibí de diploma de la empresa.
- Traen sus propias fichas de seguimiento y encuesta final.
- Entregar nuestro diplo";ASI;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;AUTODESK, S.A.;NULL;NULL;A59125229;8960;C CONSTITUCIÓN, 1, PLANTA 4ª;ALAVA;NULL;934803380;934737334;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15;BSH ELECTRODOMÉSTICOS ESPAÑA, S.A.;NULL;NULL;A28893550;50016;AVDA. MONTAÑANA, 19;ZARAGOZA;MONTAÑANA;976578000;976578001;ana.olangua@bshg.com;NULL;"Las listas se pasan a diario.
Hacemos diplomas, debemos guardar una copia de uno como modelo en el expte. Enviamos los diplomas a la planta. De Huarte - Pamplona.
DATOS DE FACTURACIÓN Y ENVIO DE FACTURAS:
BSH ELECTRODOMÉSTICOS ESPAÑA, S.A.
C/ITAROBURUA, 1
31620 HUARTE-PAMPLONA (NAVARRA)
Att. Ana Ol";BSH;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;28;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16;CENTRO CULTURAL DE IBERCAJA;NULL;NULL;G50000652;50018;C ANTÓN GARCÍA ABRIL, 1;ZARAGOZA;ZARAGOZA;976733620;976733620;ccactur@ibercajaobrasocial.org;NULL;"IBERCAJA CENTRUM (Está Marisa Borao)
Calle Costa, 2
DESDE ENERO 2012 (según Rosa Pamplona)
Debemos emitir cuatro albaranes y enviarselos a Rosa Pamplona y una vez nos den el nº de pedido, cuatro fras:
- Inglés conversación
- Inglés para estudiantes
- Inglés nivel I e inglés nivel II
- Chino
En las fras. debemos indicar el nº de cuenta de ibercaja 2085 0110 22 03 00270131
Las facturas las pagan a 30 días confirmin (las enviamos a Rosa Pamplona)
Enviaremos los albaranes cada día 15 del mes que vamos a facturar
Según Isabel Clemente (mail 22/10/2014)
Facturar a: Fundación Bancaria Paraíso / Plaza Basilio Paraíso, 2 / 50008  ZGZA
pero la debemos enviar a: Centro Ibercaja Actur / Antón García Abril, 1 /  50018  ZGOZA";IBE;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18;COLEGIO OFICIAL DE FARMACEÚTICOS DE ZARAGOZA;NULL;NULL;Q5066003D;50008;AVDA. TENOR FLETA, 57-C, 1ª PLANTA;ZARAGOZA;ZARAGOZA;976481415;976592078;cimz@redfarma.org;;ALQUILER AULAS.  Teresa Mozaz;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;COLEGIO OFICIAL DE INGENIEROS AGRÓNOMOS DE ARAGÓN, NAVARRA Y PAÍS VASCO;NULL;NULL;Q5071003G;50004;C TENIENTE CORONEL VALENZUELA, 5, 4ª PLANTA;ZARAGOZA;ZARAGOZA;976230388;976216075;NULL;NULL;www.iies.es/agronomos/coiaarnpv;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;FEDERACIÓN ARAGONESA DE FÚTBOL;NULL;NULL;G50214188;50010;URBANIZACIÓN PARQUE ROMA, BLOQUE I, PLANTA CALLE;ZARAGOZA;ZARAGOZA;976316103;976533699;federacion@futbolaragon.com;NULL;"ALQUILER DE AULAS
Presidente: Oscar Fle Latorre

Contacto: Cesar Ascaso 696687022 cesarascaso@gmail.com";FAF;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
24;CEPYME ARAGÓN;NULL;NULL;G50336585;50010;C SANTANDER, 36, 2ª PLANTA;ZARAGOZA;ZARAGOZA;976766060;976330078;NULL;NULL;"Teléfonos Boris: Casa: 976756635 /Móvil: 647131001/ Lucía: Mujer:616027003
NºCENTRO: 002
-PODEMOS HACERNOS COPIA DE LAS ENCUESTAS FINALES, SEGÚN CORREO DE RUBEN GIL (11/02/2010)
-Desde el lunes día 9/07/12 todos en: Dirección de Formación: C/Santander, 36, 2ª planta o Parque Roma F-1, local 12H
- No se pasan ficha de alumno ni encuestas.
- Las listas de asistencia las facilitan e";CEP;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25;CEOE ARAGÓN;NULL;NULL;G50100387;50004;C/ Val-Carreres, 10;ZARAGOZA;ZARAGOZA;976460064;976322956;glalaguna@cez.es;www.cez.es    -     www.cezdirecto.org;"Nº CENTRO:001
- Ellos entregan todo el material.
- Envíar diariamente control de asistencia por fax.
- Enviar por mensajero semanalmente el control de asistencia. 
- La asistencia la facilitan ellos.
- No se hacen diplomas.
- Podemos pasar nuestras ";CEO;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30;FORMACIÓN TÉCNICO PROFESIONAL;NULL;NULL;B81659013;28020;C PENSAMIENTO, 27, ESC. IZDA. 3º, 3ª;MADRID;MADRID;911405535;915711431;correo7@infonegocio.com;NULL;ALQUILER DE AULAS;FTP;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32;SERVICIOS INFORMÁTICOS DAT, S.L.;NULL;SERVICIOS INFORMÁTICOS DAT, S.L.;B48762413;48392;Bº Zugastieta, 12 (Antiguas Escuelas);VIZCAYA;NULL;946301995;946730119;NULL;www.servidat.com;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34;PREVENSALUD;NULL;NULL;B50733278;50010;CALLE PADRE MANJON, 13-15;ZARAGOZA;ZARAGOZA;976742039;976742372;prevensaludzaragoza@telefonica.net;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;EUROEXPORT FORMACIÓN, S.L.;NULL;NULL;B50643410;50007;C SIMÓN SAINZ DE VARANDA, 8-10, LOCAL;ZARAGOZA;ZARAGOZA;976255680;976271082;NULL;NULL;#¿NOMBRE?;EUR;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
36;LIZAGA-UBALDE, S.L.;NULL;NULL;;50740;CTRA. CASTELLÓN, KM. 207;ZARAGOZA;;976161128;;;;;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23693;RIEGOSALZ;NULL;NULL;NULL;50810;C/ LA ONTINA, 3;ZARAGOZA;ONTINAR DEL SALZ;976693029;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39;GFT IT CONSULTING, SLU - ZARAGOZA;NULL;NULL;A08381071;50002;PZA. ANTONIO BELTRÁN MARTÍNEZ, 1 ED. EL TROBADOR PLANTA 5;ZARAGOZA;ZARAGOZA;976763600;976763610;alfonsogarcia_alfranca@gft.com;NULL;"-Desde 6 de Junio de 2009 se denominará GFT IT CONSULTING, SOCIEDAD LIMITADA, SOCIEDAD UNIPERSONAL. A PARTIR DE ESTA FECHA LA DOCUMENTACIÓN DE CONTRATOS Y FACTURACIÓN LA DIRECCIÓN SERÁ LA SIGUIENTE:

-GFT IT CONSULTING, Sociedad Limitada, Sociedad Uni";GFT;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
