"idcliente";"nombre";"apellidos";"razonsocial";"cif";"cp";"domicilio";"provincia";"municipio";"telefono";"fax";"email";"web";"observaciones";"codcliente";"er";"certificadocaduca";"suministrode";"ctabancaria";"fecha1";"fecha2";"fecha3";"cliente";"proveedor";"fct";"pdb";"colaborador";"otrasempresas";"interesadosbolsa";"asociacion";"salesiano";"interesado";"ayuntamiento";"contacto";"cargo";"tipo";"cursointeresado";"aceptamailing";"fechanac";"nacionalidad";"sexo";"movil";"idespecialidad";"idespecialidad2";"idespecialidad3";"idespecialidad4";"idespecialidad5";"iban";"bic";"convenio";"conveniofecha";"especialidadtexto"
"25233";" Automation24 GmbH";NULL;NULL;NULL;" 45257 ";"Hinsbecker L�h 10 Essen, Alemania";"ZARAGOZA";"Essen";NULL;NULL;" info@automation24.es";NULL;"Essen (ALEMANIA)";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21672";"2NET-WORKS";;NULL;"J99058315";"50008";"URB.RESID.PARAISO, 5 ESC. G 1� A";"ZARAGOZA";"ZARAGOZA";"976907602";NULL;"info@2net-works.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;"22";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"DESARROLLO DE APLICACIONES MULTIPLATAFORMA"
"21673";"3T CONTROL PRECISI�N Y SYSTEMS";;NULL;"B97839211";"50830";"P� SAN MIGUEL SECTOR IV PARCELA I, EDIFICIO HERALDO";"ZARAGOZA";"VILLANUEVA DE GALLEGO";"976700781";NULL;"3tcontrol@3tcontrol.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;"1";"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;"21";NULL;NULL;NULL;NULL;NULL;NULL;"634";"03/02/2009";"AUTOMATIZACI�N Y ROB�TICA INDUSTRIAL"
"21676";"A T INGENIERIA DE TELECOMUNICACI�N SLP";;NULL;"B99029985";"50006";"C/ MANUEL LASALA, 42, 9� A";"ZARAGOZA";"ZARAGOZA";"976754678";NULL;"administracion@attleco.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;"1";NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;"27";NULL;NULL;NULL;NULL;NULL;NULL;"610";"20/02/2008";"SISTEMAS DE TELECOMUNICACIONES E INFORM�TICA"
"25219";"A TODO TRAPO (INSERCI�N)";NULL;NULL;NULL;"50003";"Casto M�ndez N��ez, 9";"ZARAGOZA";"ZARAGOZA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21677";"A.B.C. FLOPPY S.L.";;NULL;"B50624766";"50005";"AVDA. FERNANDO EL CAT�LICO, 8";"ZARAGOZA";"ZARAGOZA";"976791111";NULL;"comercial@abcfloppy.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;"1";NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;"29";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"SISTEMAS MICROINFORM�TICOS Y REDES"
"23388";"A.D.JUDO CLUB ZARAGOZA";NULL;NULL;"G50789643";NULL;NULL;"ALAVA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21678";"A3 TELEVISI�N";;NULL;NULL;"28700";"Avda. Isla Graciosa, 13";"MADRID";"San Sebasti�n De Los Reyes";"916230500";NULL;"formacion@atresmedia.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"23347";"ABARCO RECLAMOS PUBLICITARIOS, S.L.";NULL;NULL;"B50746650";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";"1";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5872";"ABB";NULL;NULL;NULL;"08192";"c/Illa de Buda, 55";"BARCELONA";"SANT QUIRZE DEL VALL�S";"901 760 762";NULL;"contact.center@es.abb.com";NULL;"Tfno para contacto 937288590 Josep Lluis Bonnin";NULL;NULL;NULL;"COLABORADOR FORMACI�N - PDB";NULL;NULL;NULL;NULL;"1";"1";NULL;"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21682";"ABC";;NULL;NULL;"50004";"Pza. Arag�n, 10, 7�, of. 1�";"ZARAGOZA";"Zaragoza";"913399000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"21503";"Abdias Joel Encinas G�mez ";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"joel_7cdv@live.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"1";"0";NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21327";"Abel Gimeno artal";NULL;NULL;NULL;NULL;"Juan Pablo II";"zaragoza";"zaragoza";"976754222";NULL;"Abelillo_nas@hotmail.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"1";"0";NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"23306";"ABELL� LINDE, S.A. - LINDE GAS ESPA�A, S.A.U.";NULL;NULL;"A08007262";NULL;NULL;"ALAVA";NULL;NULL;NULL;"customerservice@linde.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21683";"ABM COMPANY DISE�O GR�FICO";;NULL;"27461370Z";"30110";"AVDA. ALTO ATALAYAS, EDIFICIO ROYAL, BAJO COMERCIAL L2B";"MURCIA";"CABEZO DE TORRES";"868079570";NULL;"abm@abmcompanycs.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"10135";"ABM REXEL";NULL;"ABM REXEL";"B28262822";"50012";"Pol. Argualas, naves 26 -28";"ZARAGOZA";"ZARAGOZA";"976 56 05 00";"976472107";"zaragoza@rexel.es";NULL;"ANTIGUO: REXEL UTISAN ";NULL;NULL;NULL;"ALMAC�N DE MATERIAL EL�CTRICO";NULL;"0000-00-00";"0000-00-00";"2002-07-29";"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21684";"ABOGADO - JUAN ANTONIO TORCAL";;NULL;NULL;"50008";"P� Sagasta, 19, 2� Izda.";"ZARAGOZA";"Zaragoza";"976230834";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"23691";"ABRASIVOS JADECA, S.L.";NULL;NULL;NULL;NULL;NULL;"ZARAGOZA";NULL;"973402201";"973402209";"abrasivosjadeca@yahoo.es";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"10323";"ABT ELECTRONICA, S.L.";NULL;NULL;"B50597715";"50171";"c/ Manzano, nave-4 Pol. Malpica-Alfinden";"ZARAGOZA";"LA PUEBLA DE ALFIDEN";"976 588763  607 24 14 75";NULL;"administracion@abtelectronica.com";NULL;NULL;NULL;NULL;NULL;"ASISTENCIA EQUIPOS ELECTR�NICOS";NULL;NULL;NULL;"2002-01-01";"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21686";"ACADEMIA DE LOG�STICA DEL EJERCITO DE TIERRA";;NULL;NULL;"50300";"Avda. de las Fuerzas Armadas, s/n";"ZARAGOZA";"Calatayud";"876 63 30 00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;NULL;"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"21180";"ACADEMIA GENERAL MILITAR";NULL;NULL;NULL;"50090";"CTRA. DE HUESCA, S/N";"ZARAGOZA";"ZARAGOZA";"976739500";NULL;NULL;NULL;"TTE. CORONEL
JOSE MIGUEL IVARS PEREZ
CUARTEL GRAL DE BRILOG
ARA DE INTEGRACI�N FUNCIONAL/SECCI�N DE GESTI�N/NEGOCIADO MTTO/ANALISTA JEFE
ACUARTELAMIENTO SAN FERNANDO
P� DEL CANAL 2
50007 ZARAGOZA";"AGM";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"21688";"ACADEMIA MARCO";;NULL;NULL;"50004";"Conde Aranda, 7-9";"ZARAGOZA";"Zaragoza";"976 44 16 99";NULL;" info@academimarco.com";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00";"0000-00-00";"0000-00-00";"1";NULL;NULL;"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;NULL;"0";"0000-00-00";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
"23733";"ACCEM";NULL;NULL;NULL;"50003";"Avda. Ranillas, 3A, 3� Pl. Of. A";"ZARAGOZA";"ZARAGOZA";"976976117";NULL;"aragon@accem.es";NULL;"MENAS INAEM DESEMPLEADOS 2019";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
